"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"MOB","Mobile, AL: Mobile Regional","Mobile, AL","Alabama",
"BFM","Mobile, AL: Mobile Aerospace","Mobile, AL","Alabama",
"MXF","Montgomery, AL: Maxwell Air Force Base","Montgomery, AL","Alabama",
"MGM","Montgomery, AL: Dannelly Field","Montgomery, AL","Alabama",
"OZR","Ozark, AL: Cairns Army Air Field","Ozark, AL","Alabama",
"SEM","Selma, AL: Craig Field","Selma, AL","Alabama",
"SEM","Selma, AL: Craig Air Force Base","Selma, AL","Alabama",
"SES","Selma, AL: Selfield","Selma, AL","Alabama",
"ASN","Talladega, AL: Talladega Municipal","Talladega, AL","Alabama",
"TCL","Tuscaloosa, AL: Tuscaloosa Municipal","Tuscaloosa, AL","Alabama",
"MOB","Bates Field, AL: Bates Field Airport","Bates Field, AL","Alabama",
"ETS","Enterprise, AL: Enterprise Municipal","Enterprise, AL","Alabama",
"/HV","Huntsville, AL: (Huntsville Mean)","Huntsville, AL","Alabama",
"/MA","Mobile, AL: Mobile/Pascagoula","Mobile, AL","Alabama",
"/MV","Montgomery, AL: Montgomery Airport","Montgomery, AL","Alabama",
"/EM","Selma, AL: (Selma Mean)","Selma, AL","Alabama",
"TGE","Tuskegee, AL: Sharpe Field","Tuskegee, AL","Alabama",
"BWG","Bowling Green, KY: Bowling Green/Warren County","Bowling Green, KY","Kentucky",
"WQN","Campbellsville, KY: Taylor County","Campbellsville, KY","Kentucky",
"EKX","Elizabethtown, KY: Addington Field","Elizabethtown, KY","Kentucky",
"FFT","Frankfort, KY: Capital City","Frankfort, KY","Kentucky",
"DQP","Georgetown, KY: Marshall Field","Georgetown, KY","Kentucky",
"HOP","Hopkinsville, KY: Campbell Army Air Field","Hopkinsville, KY","Kentucky",
"LOZ","London/Corbin, KY: Roscoe E Magee Memorial","London/Corbin, KY","Kentucky",
"SDF","Louisville, KY: Standiford Field","Louisville, KY","Kentucky",
"LOU","Louisville, KY: Bowman Field","Louisville, KY","Kentucky",
"PHL","Philadelphia, PA: Philadelphia International","Philadelphia, PA","Pennsylvania",
"PNE","Philadelphia, PA: Northeast","Philadelphia, PA","Pennsylvania",
"AGC","Pittsburgh, PA: Allegheny County","Pittsburgh, PA","Pennsylvania",
"CVA","Pittsburgh, PA: Civic Arena H/P","Pittsburgh, PA","Pennsylvania",
"RDG","Reading, PA: Reading Municipal Gen C A Spaatz","Reading, PA","Pennsylvania",
"RED","Reedsville, PA: Mifflin County","Reedsville, PA","Pennsylvania",
"AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton","Scranton/Wilkes-Barre, PA","Pennsylvania",
"STQ","St. Mary's, PA: St Marys Municipal","St. Mary's, PA","Pennsylvania",
"IPT","Williamsport, PA: Williamsport Regional","Williamsport, PA","Pennsylvania",
"NXX","Willow Grove, PA: Willow Grove Nas","Willow Grove, PA","Pennsylvania",
"WKV","Philadelphia, PA: Penns Landing Seaplane Base","Philadelphia, PA","Pennsylvania",
"PNE","Philadelphia, PA: North Philadelphia","Philadelphia, PA","Pennsylvania",
"BBX","Blue Bell, PA: Wings Field","Blue Bell, PA","Pennsylvania",
"/PS","Clearfld/Philisbg/Bellefnte, PA: /Ps Clfld/Phlpsbg/Blfnt","Clearfld/Philisbg/Bellefnte, PA","Pennsylvania",
"/MD","Harrisburg/York, PA: Harrisburg International  Olmsted Field","Harrisburg/York, PA","Pennsylvania",
"LBE","Latrobe, PA: Latrobe","Latrobe, PA","Pennsylvania",
"/PH","Philadelphia, PA: /Ph Philadelphia/Camden","Philadelphia, PA","Pennsylvania",
"/PH","Philadelphia, PA: Philadelphia Airport","Philadelphia, PA","Pennsylvania",
"/PU","Pittsburgh, PA: Pittsburgh","Pittsburgh, PA","Pennsylvania",
"/PU","Pittsburgh, PA: Pittsburgh","Pittsburgh, PA","Pennsylvania",
"DOV","Dover, DE: Dover Air Force Base","Dover, DE","Delaware",
"GED","Georgetown, DE: Sussex County","Georgetown, DE","Delaware",
"ILG","Wilmington, DE: Greater Wilmington","Wilmington, DE","Delaware",
"REH","Rehoboth, DE: Rehoboth Aircrafters","Rehoboth, DE","Delaware",
"DVX","Dover, DE: Delaware Airpark","Dover, DE","Delaware",
"IAD","Washington, DC: Dulles International","Washington, DC","District of Columbia",
"DCA","Washington, DC: Ronald Reagan Washington National","Washington, DC","District of Columbia",
"WAS","Washington, DC: Washington Airport","Washington, DC","District of Columbia",
"BZS","Washington Dc, DC: Buzzards Point Sea Plane Base","Washington Dc, DC","District of Columbia",
"WAS","Washington, DC: Washington Metropolitan Area","Washington, DC","District of Columbia",
"/WS","Washington, DC: /Ws Washington","Washington, DC","District of Columbia",
"/WS","Washington, DC: Washington Airport","Washington, DC","District of Columbia",
"AVO","Avon Park, FL: Avon Park Municipal","Avon Park, FL","Florida",
"JZQ","Brooksville, FL: Hernando County","Brooksville, FL","Florida",
